x,y,size,a,b,phi,cluID,frameID,trackID,f_x,f_y,f_size,f_a,f_b
118.194862366,35.8918991089,11.2560024261,0.0863067507744,0.041513517499,0.294816911221,0,47,0,118.194862366,35.8918991089,11.2560024261,0.0863067507744,0.041513517499
118.219268799,35.8494567871,15.5999679565,0.114554472268,0.0433472730219,6.02677774429,1,48,0,118.216827393,35.8537025452,15.1655712128,0.112948268652,0.0427394881845
118.210083008,35.6922950745,9.94561958313,0.0726986974478,0.0435467101634,6.0308880806,1,47,1,118.210083008,35.6922950745,9.94561958313,0.0726986974478,0.0435467101634
118.247795105,35.7115440369,24.3401260376,0.108575120568,0.0713579952717,6.16514635086,0,48,1,118.244026184,35.7096176147,22.9006748199,0.105315685272,0.0692158192396
118.300994873,35.7841567993,82.5155258179,0.23729467392,0.110687308013,5.21505451202,0,49,1,118.346572876,35.843788147,130.20741272,0.298083543777,0.139042586088
118.355354309,35.7563972473,63.8506813049,0.232255235314,0.0875084847212,5.16472101212,0,50,1,118.40309906,35.7399978638,53.5728378296,0.212742894888,0.0801566764712
118.421852112,35.7760124207,80.1782989502,0.227815330029,0.112027332187,5.12532091141,0,51,1,118.479400635,35.7894821167,91.7472076416,0.243697419763,0.119837291539
118.513328552,35.7172164917,49.3063278198,0.157410353422,0.0997055843472,5.65824365616,0,52,1,118.591827393,35.671749115,25.9149608612,0.114118814468,0.072284206748
118.591369629,35.693069458,71.0381240845,0.213820531964,0.105752885342,5.30495834351,0,53,1,118.661117554,35.6690483093,85.9538040161,0.235199406743,0.116326600313
118.651603699,35.7644386292,76.7203140259,0.182068884373,0.13412964344,5.3765912056,0,54,1,118.706031799,35.8196029663,83.0046081543,0.189378917217,0.139514923096
118.729492188,35.779914856,37.6838760376,0.12683057785,0.0945761650801,5.57985496521,0,55,1,118.79662323,35.7980041504,6.90930080414,0.0543079264462,0.0404968224466
118.811676025,35.7823371887,11.2249546051,0.079471193254,0.0449598655105,5.88369941711,2,56,1,118.883651733,35.7855148315,0.0,0.0,0.0
118.914787292,35.7545394897,15.1805906296,0.0983262807131,0.0491438508034,5.9794254303,1,57,1,119.003852844,35.7324943542,16.2283859253,0.101663000882,0.0508115552366
118.900131226,35.8195762634,16.3631782532,0.0775764212012,0.0671410411596,0.00855697132647,1,58,1,118.896652222,35.8693809509,17.6256999969,0.0805135816336,0.0696830973029
118.890045166,35.8818969727,12.2097711563,0.0808726400137,0.0480569303036,6.20684051514,1,59,1,118.880805969,35.936958313,8.98165225983,0.0693626999855,0.041217379272
118.981147766,35.8659896851,9.95833396912,0.0724264159799,0.0437663011253,0.0584409013391,0,60,1,119.053222656,35.8582496643,7.82491159439,0.0642012357712,0.0387959368527
118.298202515,36.0096473694,8.04705142975,0.057739470154,0.0443623028696,6.05305814743,1,51,2,118.298202515,36.0096473694,8.04705142975,0.057739470154,0.0443623028696
118.432228088,35.9029121399,15.9198226929,0.11619566381,0.0436112396419,6.18483972549,2,52,2,118.418823242,35.9135856628,15.1325454712,0.113286145031,0.0425192192197
118.574790955,35.534992218,12.7664461136,0.076323337853,0.0532430335879,5.41322898865,1,52,3,118.574790955,35.534992218,12.7664461136,0.076323337853,0.0532430335879
118.530158997,35.9244270325,8.60545349121,0.0605749115348,0.0452200546861,4.42102336884,1,54,4,118.530158997,35.9244270325,8.60545349121,0.0605749115348,0.0452200546861
118.707344055,35.5214691162,28.783657074,0.123116627336,0.0744182392955,5.40810871124,2,54,5,118.707344055,35.5214691162,28.783657074,0.123116627336,0.0744182392955
118.732673645,35.557346344,23.515794754,0.100801080465,0.074258223176,5.53130245209,1,55,5,118.730140686,35.5537567139,24.0425815582,0.10192386806,0.0750853642821
118.796554565,35.5600090027,53.2527656555,0.153314650059,0.110562697053,5.20380830765,0,56,5,118.849685669,35.5650100708,76.6209106445,0.183901906013,0.132620662451
118.849319458,35.5818138123,57.4099731445,0.186183109879,0.0981515571475,4.99104452133,0,57,5,118.896644592,35.5994720459,63.1146965027,0.195214405656,0.102912649512
118.82623291,35.7214241028,10.360045433,0.0844766125083,0.0390368998051,0.0818997621536,2,58,5,118.811981201,35.8348579407,0.0,0.0,0.0
118.93737793,35.6448249817,16.3017940521,0.0982357859612,0.0528221167624,6.18961000443,2,59,5,119.02444458,35.5947151184,17.2911987305,0.101172983646,0.0544014722109
118.615501404,36.0465621948,8.45339012146,0.0649285167456,0.0414424650371,0.0955346748233,1,56,6,118.615501404,36.0465621948,8.45339012146,0.0649285167456,0.0414424650371
118.891357422,35.4112548828,8.49247646332,0.0749602690339,0.0360622890294,0.154533296824,2,57,7,118.891357422,35.4112548828,8.49247646332,0.0749602690339,0.0360622890294
118.916938782,35.5388259888,65.5111312866,0.205476507545,0.101485282183,4.94478416443,0,58,7,118.914382935,35.5260696411,59.8092651367,0.196330994368,0.09696829319
118.996414185,35.4531860352,17.0508937836,0.0763637647033,0.0710738673806,4.60356378555,0,59,7,119.062042236,35.3948783875,0.0,0.0,0.0
119.044174194,35.4782295227,21.9450378418,0.0956849455833,0.073003359139,6.09572839737,1,60,7,119.088737488,35.4914131165,21.9835338593,0.0957688316703,0.0730673596263
119.099967957,35.5289764404,34.8317146301,0.116468653083,0.0951953902841,5.87901210785,0,61,7,119.148422241,35.5715789795,45.5325889587,0.133162766695,0.108840286732
119.121742249,35.6050376892,24.7645454407,0.101298764348,0.0778173357248,0.65525329113,0,62,7,119.143623352,35.6699447632,17.7417449951,0.0857407227159,0.0658657029271
119.2057724,35.8161277771,11.5553359985,0.0760310962796,0.0483772791922,6.23759555817,1,62,8,119.2057724,35.8161277771,11.5553359985,0.0760310962796,0.0483772791922
119.361236572,35.6878166199,17.2255840302,0.0990634635091,0.0553491041064,0.331229537725,0,64,9,119.361236572,35.6878166199,17.2255840302,0.0990634635091,0.0553491041064
119.477401733,35.7142448425,13.5531406403,0.10813524574,0.0398953966796,6.27297973633,1,65,9,119.465782166,35.7116012573,13.9203853607,0.109590508044,0.0404323004186
119.523727417,35.7391967773,22.8687801361,0.116746559739,0.0623518042266,6.2184381485,0,66,9,119.570083618,35.7612724304,30.0274963379,0.133777216077,0.071447506547
119.538986206,35.7829055786,44.311920166,0.180367439985,0.0782010406256,0.107050836086,0,67,9,119.554901123,35.8198699951,62.2116851807,0.213714420795,0.0926591306925
119.626312256,35.8032722473,21.6390419006,0.0981975495815,0.0701435059309,0.0185465123504,0,68,9,119.697395325,35.8230628967,5.21619033813,0.0482123568654,0.0344385765493
119.281021118,35.4879226685,10.8620595932,0.0659856423736,0.0523977801204,6.18718004227,1,64,10,119.281021118,35.4879226685,10.8620595932,0.0659856423736,0.0523977801204
119.315200806,35.5032615662,10.4278287888,0.0928969010711,0.035730805248,6.26908636093,0,65,10,119.311782837,35.5017280579,10.4712514877,0.0930901095271,0.0358051210642
119.346992493,35.5176010132,12.2081232071,0.0877637788653,0.0442775636911,6.18117237091,1,66,10,119.375160217,35.5303001404,13.5976200104,0.0926237404346,0.046729452908
119.807991028,35.8917503357,13.5486116409,0.101908899844,0.0423187464476,0.199809670448,0,70,11,119.807991028,35.8917503357,13.5486116409,0.101908899844,0.0423187464476
